country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,01-01-2022,-47,-38,-35,-52,-55,14
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,02-01-2022,-25,-19,-26,-35,-22,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,03-01-2022,-20,-9,-27,-38,-45,12
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,04-01-2022,-24,-10,-28,-40,-41,12
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,05-01-2022,-24,-9,-27,-41,-41,13
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,06-01-2022,-25,-11,-27,-42,-41,13
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,07-01-2022,-29,-14,-35,-43,-40,15
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,08-01-2022,-29,-14,-35,-39,-22,9
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,09-01-2022,-26,-16,-23,-36,-20,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,10-01-2022,-26,-12,-30,-42,-39,12
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,11-01-2022,-26,-11,-23,-43,-37,12
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,12-01-2022,-27,-14,-26,-43,-37,12
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,13-01-2022,-28,-15,-31,-43,-37,13
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,14-01-2022,-27,-14,-25,-41,-36,12
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,15-01-2022,-30,-18,-43,-42,-22,9
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,16-01-2022,-25,-17,-17,-39,-20,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,17-01-2022,-25,-16,-37,-47,-51,15
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,18-01-2022,-27,-13,-27,-42,-36,11
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,19-01-2022,-27,-15,-25,-42,-35,11
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,20-01-2022,-26,-15,-21,-41,-34,11
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,21-01-2022,-26,-15,-24,-41,-33,11
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,22-01-2022,-27,-16,-29,-40,-19,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,23-01-2022,-25,-17,-15,-38,-18,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,24-01-2022,-25,-14,-22,-41,-32,9
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,25-01-2022,-25,-14,-21,-42,-33,10
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,26-01-2022,-25,-15,-22,-42,-33,9
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,27-01-2022,-25,-16,-21,-41,-33,10
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,28-01-2022,-25,-14,-24,-40,-31,9
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,29-01-2022,-25,-15,-30,-39,-17,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,30-01-2022,-24,-15,-17,-35,-17,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,31-01-2022,-24,-14,-26,-40,-31,8
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,01-02-2022,-23,-12,-21,-40,-32,8
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,02-02-2022,-23,-13,-21,-41,-31,9
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,03-02-2022,-22,-13,-20,-39,-31,8
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,04-02-2022,-22,-13,-16,-37,-29,8
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,05-02-2022,-22,-13,-17,-35,-17,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,06-02-2022,-19,-14,-1,-32,-16,4
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,07-02-2022,-23,-12,-17,-38,-30,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,08-02-2022,-23,-12,-16,-40,-31,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,09-02-2022,-22,-12,-15,-38,-30,7
